DATE',ID_CAMS',0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2019-01-02',6747,6.0651364,6.3331909,6.0214767,5.2918186,4.8121314,5.2342949,6.1873612,6.2958617,6.9792919,7.6117687,6.6316242,7.0690603,7.8997288,7.7461662,7.3481770,7.0948749,7.7843828,8.5447226,8.1514473,7.2965736,7.1120219,6.3095059,5.9294648,6.3501630
2019-01-02',6748,6.1128278,6.5970578,6.3476729,5.7453861,5.3940234,5.7056403,6.6097646,6.5515580,7.5964408,7.5744653,7.4559107,7.5703340,7.8929644,7.9668894,7.7932043,8.2439642,9.2733393,10.183121,10.236620,9.5308323,9.2989016,8.5852318,7.4355884,6.2960768
2019-01-02',6749,6.1492076,6.6589036,6.3695006,5.8710246,5.9867296,6.2225175,6.9264393,6.8423119,8.1944904,7.4680400,8.0048332,8.1671333,8.0885630,8.0810308,8.7090368,9.0099010,10.577668,11.134423,11.360031,10.598821,11.013570,10.342746,9.9544048,9.1831541
2019-01-03',6192,7.7765565,7.5678911,7.0459619,6.4643359,5.4090633,5.3874807,5.0249915,4.8537254,4.7536540,4.3898206,3.9347725,3.8723056,3.8669944,3.9180605,4.1100869,4.1133056,4.9166660,5.6588631,6.2247472,6.4348383,6.4654746,5.9280400,5.3685427,5.0142937
2019-01-03',6193,8.7560253,9.3667583,8.8438482,8.0480223,8.1331844,6.2175226,6.3317366,6.3860536,6.0762300,5.8667264,5.3772879,5.1135955,4.6817594,5.1974354,4.9792085,4.7294459,5.2667928,6.3267026,7.2482700,7.3495059,7.1545591,7.0322089,7.0552292,6.5095029
2019-01-03',6194,9.5146294,9.9606009,9.5818748,8.8076773,8.7002544,8.1225300,6.1926546,5.9332671,6.0009975,5.7680464,5.5375862,4.9662571,4.8140059,4.9294186,5.2341084,5.4965334,5.9337368,6.2058673,6.9562654,7.1608286,7.1340528,8.7969694,8.2163200,7.3688903
2019-01-03',6377,8.1353807,7.8145065,7.2718573,6.7764344,5.8154941,6.4464593,6.3554258,5.9041634,5.3293357,5.1007895,4.8414536,4.1931868,4.6858239,4.5073280,4.8937583,4.7146664,5.7814250,6.3492832,6.8469839,7.3229318,7.2208953,6.6247411,5.5571065,5.3514032
2019-01-03',6378,8.2649269,9.7110014,9.9608498,9.1111784,9.4230185,9.7361870,9.7580023,8.2937756,7.5595307,6.8757825,6.6108470,6.6922226,6.5322118,6.8244362,6.4022975,6.5250726,8.0298090,8.6547527,9.4008026,12.152491,12.104086,9.9832354,8.7789564,8.1589851
2019-01-03',6379,7.5049014,10.299615,10.044637,10.040540,10.600161,10.432292,10.241853,9.1016340,8.3619604,7.6277070,7.2127337,7.2203546,7.2331762,7.3551264,7.4546399,7.3278437,8.3288622,8.8568878,9.5190363,13.538177,14.135058,10.995830,9.8851929,8.8756247
2019-01-03',6562,8.1353807,7.8145065,7.2718573,6.7764344,5.8154941,6.4464593,6.3554258,5.9041634,5.3293357,5.1007895,4.8414536,4.1931868,4.6858239,4.5073280,4.8937583,4.7146664,5.7814250,6.3492832,6.8469839,7.3229318,7.2208953,6.6247411,5.5571065,5.3514032
